agent,budget,distribution,horizon,size,time,total_simulations,variable,value
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,0,100,acceptance_rate,0.5
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,0,100,accumulated_reward,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,0,100,available_budget,50.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,0,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,1,100,acceptance_rate,0.46166659000000004
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,1,100,accumulated_reward,0.11
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,1,100,available_budget,49.91
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,1,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,2,100,acceptance_rate,0.44249992
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,2,100,accumulated_reward,0.29
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,2,100,available_budget,49.77
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,2,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,3,100,acceptance_rate,0.42449993999999996
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,3,100,accumulated_reward,0.5
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,3,100,available_budget,49.61
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,3,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,4,100,acceptance_rate,0.39683324999999997
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,4,100,accumulated_reward,0.62
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,4,100,available_budget,49.52
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,4,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,5,100,acceptance_rate,0.38314281
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,5,100,accumulated_reward,0.77
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,5,100,available_budget,49.37
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,5,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,6,100,acceptance_rate,0.35928565
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,6,100,accumulated_reward,0.83
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,6,100,available_budget,49.33
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,6,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,7,100,acceptance_rate,0.343242
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,7,100,accumulated_reward,0.89
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,7,100,available_budget,49.29
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,7,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,8,100,acceptance_rate,0.33082928
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,8,100,accumulated_reward,0.99
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,8,100,available_budget,49.2
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,8,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,9,100,acceptance_rate,0.3237737
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,9,100,accumulated_reward,1.09
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,9,100,available_budget,49.12
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,9,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,10,100,acceptance_rate,0.32711894
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,10,100,accumulated_reward,1.26
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,10,100,available_budget,48.98
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,10,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,11,100,acceptance_rate,0.32680078
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,11,100,accumulated_reward,1.43
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,11,100,available_budget,48.87
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,11,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,12,100,acceptance_rate,0.32521343999999996
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,12,100,accumulated_reward,1.52
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,12,100,available_budget,48.78
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,12,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,13,100,acceptance_rate,0.31971199
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,13,100,accumulated_reward,1.61
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,13,100,available_budget,48.71
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,13,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,14,100,acceptance_rate,0.31511749
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,14,100,accumulated_reward,1.76
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,14,100,available_budget,48.61
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,14,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,15,100,acceptance_rate,0.31740313
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,15,100,accumulated_reward,1.96
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,15,100,available_budget,48.47
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,15,100,threshold,0.0
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,16,100,acceptance_rate,0.31160738000000004
greedy,50,centeredbino_l-5_u4_n6_k1,500,10,16,100,accumulated_reward,2.01
