T: 100
Value: 6.43538
Optimized Elapsed time: 0.530212 seconds
Optimized Memory Usage: 1180.58 MB

sim_no,t,m_greedy,m_optimal,cost_greedy,cost_optimal
0,0,0.000000,0.000000,0.000000,0.000000
0,1,1.000000,1.000000,3.000000,3.000000
0,2,2.000000,2.000000,7.000000,7.000000
0,3,3.000000,3.000000,12.000000,12.000000
0,4,4.000000,4.000000,16.000000,16.000000
0,5,5.000000,5.000000,19.000000,19.000000
0,6,5.000000,5.000000,21.000000,21.000000
0,7,5.000000,5.000000,26.000000,26.000000
0,8,5.000000,5.000000,30.000000,30.000000
0,9,5.000000,5.000000,31.000000,31.000000
0,10,5.000000,5.000000,35.000000,35.000000
0,11,5.000000,5.000000,38.000000,38.000000
0,12,5.000000,5.000000,42.000000,42.000000
0,13,5.000000,5.000000,46.000000,45.000000
0,14,5.000000,5.000000,51.000000,50.000000
0,15,6.000000,5.000000,56.000000,55.000000
0,16,7.000000,5.000000,60.000000,59.000000
0,17,8.000000,5.000000,64.000000,63.000000
0,18,9.000000,5.000000,69.000000,68.000000
0,19,10.000000,5.000000,73.000000,71.000000
0,20,11.000000,5.000000,76.000000,74.000000
0,21,12.000000,5.000000,80.000000,78.000000
0,22,13.000000,5.000000,83.000000,81.000000
0,23,14.000000,5.000000,87.000000,85.000000
0,24,15.000000,5.000000,90.000000,88.000000
0,25,16.000000,5.000000,95.000000,90.000000
0,26,17.000000,5.000000,99.000000,94.000000
0,27,18.000000,5.000000,103.000000,98.000000
0,28,19.000000,5.000000,108.000000,103.000000
0,29,20.000000,5.000000,112.000000,107.000000
0,30,21.000000,5.000000,117.000000,112.000000
0,31,22.000000,6.000000,121.000000,116.000000
0,32,23.000000,6.000000,125.000000,116.000000
0,33,24.000000,6.000000,128.000000,119.000000
0,34,25.000000,6.000000,133.000000,124.000000
0,35,25.000000,6.000000,135.000000,126.000000
0,36,25.000000,6.000000,139.000000,130.000000
0,37,25.000000,6.000000,143.000000,134.000000
0,38,25.000000,6.000000,147.000000,138.000000
0,39,25.000000,6.000000,150.000000,141.000000
0,40,25.000000,6.000000,153.000000,144.000000
0,41,25.000000,6.000000,156.000000,147.000000
0,42,25.000000,6.000000,159.000000,148.000000
0,43,25.000000,6.000000,163.000000,152.000000
0,44,25.000000,6.000000,167.000000,156.000000
0,45,25.000000,6.000000,171.000000,160.000000
0,46,25.000000,6.000000,174.000000,163.000000
